"filename", "language", "Python", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "JSON", "SVG", "TypeScript JSX", "SCSS", "PostCSS", "comment", "blank", "total"
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\public\illustration\compile.svg", "SVG", 0, 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, -1, -12
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\public\illustration\conv2d.svg", "SVG", 0, 0, 0, 0, 0, 0, -51, 0, 0, 0, 0, -6, -57
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\public\illustration\dense.svg", "SVG", 0, 0, 0, 0, 0, 0, -47, 0, 0, 0, 0, -2, -49
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\public\illustration\loading.svg", "SVG", 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, -2, -22
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\public\layers.svg", "SVG", 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, -1, -20
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\public\package.svg", "SVG", 0, 0, 0, 0, 0, 0, -22, 0, 0, 0, -1, 0, -23
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\public\round-question.svg", "SVG", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\server.js", "JavaScript", 0, 0, -79, 0, 0, 0, 0, 0, 0, 0, -1, -22, -102
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\tailwind.config.js", "JavaScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, -2, -19
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\tsconfig.json", "JSON with Comments", 0, -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -28
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\server\build_model.py", "Python", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 114
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\server\server.py", "Python", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 50, 233
"Total", "-", 243, -27, -100, -23, -9, -6134, -191, -7904, -227, -126, -190, -981, -15669
